Epoch,Loss,Type,Accuracy,LearningRate
1,0.0115,Training,0.85,1.00E-05
2,0.0062,Training,0.85,1.00E-05
3,0.005,Training,0.85,1.00E-05
1,0.058,Training,0.85,2.00E-05
2,0.0279,Training,0.85,2.00E-05
3,0.0157,Training,0.85,2.00E-05
1,0.2828,Training,0.85,3.00E-05
2,0.155,Training,0.8,3.00E-05
3,0.0784,Training,0.85,3.00E-05
1,0.6748,Training,0.6,4.00E-05
2,0.5911,Training,0.85,4.00E-05
3,0.4659,Training,0.85,4.00E-05
1,0.6834,Training,0.55,5.00E-05
2,0.5694,Training,0.8,5.00E-05
3,0.3494,Training,0.8,5.00E-05
1,0.613094,Val,0.85,1.00E-05
2,0.636686,Val,0.85,1.00E-05
3,0.639272,Val,0.85,1.00E-05
1,0.461363,Val,0.85,2.00E-05
2,0.447971,Val,0.85,2.00E-05
3,0.465674,Val,0.85,2.00E-05
1,0.399908,Val,0.85,3.00E-05
2,0.34958,Val,0.8,3.00E-05
3,0.361019,Val,0.85,3.00E-05
1,0.655103,Val,0.6,4.00E-05
2,0.538775,Val,0.85,4.00E-05
3,0.484448,Val,0.85,4.00E-05
1,0.653699,Val,0.55,5.00E-05
2,0.482377,Val,0.8,5.00E-05
3,0.452403,Val,0.8,5.00E-05
